species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
pregrs1,Melozone biarcuata,30.6,14.8,9,5.2,71.6,Omnivore
whegrs2,Melozone leucotis,39.9,16.6,10.6,5.8,81.5,Invertivore
savspa,Passerculus sandwichensis,20,12.8,8.3,4.1,72.8,Omnivore
botspa,Peucaea botterii,19.9,14.3,8.6,4.9,63.9,Invertivore
sthspa1,Peucaea ruficauda,28.2,17.5,10.5,5.7,75.2,Omnivore
citspa1,Peucaea sumichrasti,29.4,15.7,9.9,5.5,69.4,Omnivore
spotow,Pipilo maculatus,39.3,17.4,10.3,6,85.8,Omnivore
clcspa,Spizella pallida,11.2,10.1,6,3.4,60.8,Granivore
chispa,Spizella passerina,12.2,13.1,7,4,68,Omnivore
rucspa1,Zonotrichia capensis,20.3,13.6,8.7,5.3,63.9,Omnivore
whcspa,Zonotrichia leucophrys,28,15.4,8.4,4.5,78.7,Omnivore
houspa,Passer domesticus,26.5,13.5,9.1,6.3,74.9,Granivore
oliwar,Peucedramus taeniatus,11,14.3,8.2,3.1,71,Invertivore
recman1,Ceratopipra mentalis,15,12.1,6.7,4.4,58.5,Frugivore
lotman1,Chiroxiphia linearis,17.4,11.7,6.4,4.2,68.9,Frugivore
whcman1,Manacus candei,19.8,12.6,6.8,4.1,55.7,Frugivore
whlgna2,Polioptila albiloris,6.3,13.3,8.7,2.9,49,Invertivore
buggna,Polioptila caerulea,5.8,11.3,7.4,2.8,50.8,Invertivore
trogna1,Polioptila plumbea,6.4,12.2,8,2.9,46.7,Invertivore
lobgna5,Ramphocaenus melanurus,9.7,24.3,16.8,2.8,50.2,Invertivore
grsfly1,Ptiliogonys cinereus,33.6,14.6,6.7,4.4,92.6,Omnivore
NA,Regulus calendula,6.2,10.6,6.3,2.7,58,Invertivore
gockin,Regulus satrapa,6.2,9,5.4,2.1,57.2,Invertivore
wesspi,Spindalis zena,25.4,14.3,8.1,4.9,73.8,Frugivore
eursta,Sturnus vulgaris,77.1,30.2,18.5,6.6,128.3,Omnivore
dusant1,Cercomacroides tyrannina,16.3,18.2,10.6,4.9,62.7,Invertivore
plaant1,Dysithamnus mentalis,14.9,15.8,9.2,4.2,59.8,Invertivore
bacant1,Gymnocichla nudiceps,30.5,20.5,12.7,5.2,75.2,Invertivore
dowant1,Microrhopias quixensis,7.9,15.6,9.6,4.1,53,Invertivore
slaant1,Myrmotherula schisticolor,9.6,15.5,8.2,3.3,54.9,Invertivore
greant1,Taraba major,59.2,26.3,16.9,7,90.6,Invertivore
rusant1,Thamnistes anabatinus,20.7,23.3,12.7,6,68.1,Invertivore
wesant1,Thamnophilus atrinucha,23.6,19.4,12.8,5.4,67.9,Invertivore
barant1,Thamnophilus doliatus,27,19.2,11.9,5.6,71.2,Invertivore
grehon1,Chlorophanes spiza,19,15.9,11.4,4.5,68.3,Frugivore
banana,Coereba flaveola,10,13.2,9.9,3.6,54.6,Nectarivore
relhon1,Cyanerpes cyaneus,14,19.4,12.8,3.8,60.9,Omnivore
shihon1,Cyanerpes lucidus,11.4,21.9,15,3.4,57,Omnivore
cibflo1,Diglossa baritula,9.2,12.2,7.3,2.4,58.1,Nectarivore
grhtan1,Eucometis penicillata,27,18,11.6,6.4,88.7,Invertivore
btstan1,Lanio aurantius,35,22.8,14.9,6.5,104.8,Invertivore
y00599,Ramphocelus passerinii,32,18.3,12.3,7.3,75.4,Omnivore
crctan1,Ramphocelus sanguinolentus,41,19.6,13.7,8.8,88.5,Invertivore
blhsal1,Saltator atriceps,83.8,25.7,17,10.1,118.2,Omnivore
grasal3,Saltator coerulescens,54.9,22.3,13.9,8.8,100.7,Omnivore
butsal1,Saltator maximus,47.6,20.7,14.7,8.9,96.1,Frugivore
gryfin1,Sicalis luteola,15.9,9.3,7,4.6,67,Granivore
NA,Spodiornis rusticus,15.6,13.7,8.8,4.6,66.4,Granivore
varsee3,Sporophila corvina,10.6,10.7,7,5.3,52.9,Granivore
tbsfin1,Sporophila funerea,13,12.6,9.3,6.9,55,Granivore
rubsee1,Sporophila minuta,7.8,9.2,6.2,5,49.3,Granivore
whcsee1,Sporophila morelleti,8.7,9.5,6.6,5.2,49.4,Granivore
slcsee1,Sporophila schistacea,12.7,12.9,7.3,5.4,61.5,Granivore
yefgra1,Tiaris olivaceus,8.5,9.1,6.7,4.1,49.9,Granivore
blbgra1,Volatinia jacarina,9.9,10.4,7.1,4.3,47.8,Granivore
spemou1,Laniocera rufescens,48.1,20.4,13.3,6,108.8,Omnivore
surfly1,Myiobius sulphureipygius,11.6,14.6,7.6,4.2,66.4,Invertivore
royfly1,Onychorhynchus coronatus,14,22.1,13.8,7.4,73.9,Invertivore
rotbec,Pachyramphus aglaiae,29.7,16.9,11.3,7.1,86,Omnivore
