species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
grsvir1,Vireolanius pulchellus,24,21.2,11.7,5.7,74.1,Invertivore
agaher1,Agamia agami,567,158.8,146,12.5,273.6,Aquatic predator
greegr,Ardea alba,871.3,126.3,90.4,12,378.8,Aquatic predator
grbher3,Ardea herodias,2523.4,145.2,106,15.8,463.5,Aquatic predator
amebit,Botaurus lentiginosus,706,82.4,58.6,10.7,270.8,Aquatic predator
pinbit1,Botaurus pinnatus,812.2,96,68.3,12.6,297.8,Aquatic predator
NA,Bubulcus ibis,366,63.3,43.5,8.6,244.4,Omnivore
bobher1,Cochlearius cochlearius,643.2,86.4,65.9,43.3,264.6,Aquatic predator
libher,Egretta caerulea,338.6,78.1,60.6,9.5,257.8,Aquatic predator
redegr,Egretta rufescens,614,101.5,87,12.2,313.2,Aquatic predator
snoegr,Egretta thula,371,86.3,69.2,9.4,252.8,Aquatic predator
triher,Egretta tricolor,372.3,102.7,83.7,9.6,248.8,Aquatic predator
NA,Ixobrychus exilis,86.3,47.8,34.7,5.5,107.8,Aquatic predator
ycnher,Nyctanassa violacea,681.7,76.5,55.4,15.4,283.8,Aquatic predator
bcnher,Nycticorax nycticorax,810,80.5,56.7,12.1,285.7,Aquatic predator
btther1,Tigrisoma mexicanum,1154.4,123.3,94.8,15.5,371.5,Aquatic predator
amwpel,Pelecanus erythrorhynchos,5608.5,319.8,296.8,39.6,561,Aquatic predator
brnpel,Pelecanus occidentalis,3427.8,319.5,285,38.8,494.6,Aquatic predator
whiibi,Eudocimus albus,889.7,144.1,120.1,12.2,280.2,Aquatic predator
rosspo1,Platalea ajaja,1490,159.8,126.6,27.6,349,Aquatic predator
whfibi,Plegadis chihi,616.9,118.7,99.4,10.3,246.5,Aquatic predator
gloibi,Plegadis falcinellus,626.6,117.2,102.8,10.4,274.8,Aquatic predator
rebtro,Phaethon aethereus,750,66.4,50.5,8.8,309.2,Aquatic predator
grefla2,Phoenicopterus ruber,3031.6,126,89.5,26.9,408.8,Aquatic predator
whwpuf1,Malacoptila panamensis,42.6,29.3,22.8,9.5,87.4,Invertivore
whnpuf2,Notharchus hyperrhynchus,95.9,50.2,40,16.4,114.7,Invertivore
rutjac1,Galbula ruficauda,26.5,53.8,46.8,5.4,78.3,Invertivore
pabwoo1,Campephilus guatemalensis,242,47.7,35.7,13.2,180.8,Invertivore
chcwoo1,Celeus castaneus,85.6,26.7,19.3,7.9,125.6,Invertivore
norfli,Colaptes auratus,131.5,38.4,27.6,8.2,151.8,Invertivore
goowoo1,Colaptes rubiginosus,55.8,27,18,7.1,123.7,Invertivore
labwoo,Dryobates scalaris,31.6,19,13.8,6.9,96.8,Invertivore
gofwoo,Melanerpes aurifrons,80.8,34.7,24.7,7.8,129.1,Omnivore
acowoo,Melanerpes formicivorus,79.6,26.9,20.6,8.2,139.8,Granivore
blcwoo1,Melanerpes pucherani,62.4,26,19,6.6,110.6,Invertivore
yucwoo,Melanerpes pygmaeus,38.8,21.5,15.8,5.8,97.4,Invertivore
olipic1,Picumnus olivaceus,10.6,10.3,8.8,3.6,52.4,Invertivore
yebsap,Sphyrapicus varius,50.3,24.8,19.2,6.7,124.8,Omnivore
noremt1,Aulacorhynchus prasinus,170.6,68.9,60.9,14.7,129.9,Frugivore
